start node index, end node index, connection length
0,25,55476.94
0,96,124290.7
0,321,73673.05
0,360,166321.6
1,115,56642.25
1,192,95692.52
1,341,145871.2
1,422,43530.51
2,114,13317.94
2,379,201583.1
2,428,110150.3
3,67,38892.32
3,144,110794.5
3,225,45631.4
3,552,130386.2
4,3,77469.01
5,35,116252.5
5,214,171485.2
5,219,60068.5
5,256,129504
6,13,107103.4
7,93,91668.02
7,170,38583.2
7,321,63377.57
8,23,157678.9
9,85,131538.7
10,98,87177.22
10,174,75053.3
11,86,128687.2
12,58,75426.96
12,116,121697.8
12,143,106530
12,298,163556.6
14,115,119183.7
14,285,145811.9
15,292,128979.7
15,321,10617.97
15,323,30215.59
16,232,139472.1
17,39,30982.7
17,42,166986.8
17,156,39307.84
18,219,141487.8
18,243,110630.5
18,326,162276.9
18,350,72815.65
19,170,148189
19,189,161149.2
19,249,8054.105
20,56,69988.33
20,166,63194.49
20,560,125274.7
21,253,39756.06
22,78,136264
24,34,127591.1
24,87,69070.07
24,102,65268.02
24,416,74451.12
26,109,114363
26,181,114809.4
26,310,76179.83
27,139,108696.2
27,157,116375.3
27,325,45067.14
27,540,63955.82
28,111,77523.57
29,19,151811.3
29,63,91702.22
29,79,40892.23
29,633,79629.91
30,64,129064.2
30,319,25148.33
30,329,83548.6
30,449,97965.41
31,30,72260.5
31,267,75729.45
31,355,165574.4
32,11,131641.5
32,120,183532.9
32,285,24588.64
32,324,197582.2
33,307,136646
33,427,107556.1
33,452,31934.74
34,8,41832.75
36,113,188539.3
36,129,138541.7
37,11,34872.34
38,149,156196.3
38,156,73373.23
38,178,136317.8
40,8,46206.27
40,68,100284.2
41,27,56498.97
41,262,137170.6
41,373,148181
41,428,137976.3
43,86,109202.7
44,58,125179.3
44,152,87495.91
45,70,82663.47
46,163,80898.45
47,259,98195.46
47,700,36577.77
47,754,64534.08
47,787,68599.2
48,3,44806.14
48,192,147986
49,44,159239.5
50,44,88849.02
50,99,66448.06
51,60,165251.4
51,92,164995.9
51,104,175012.8
51,288,38677.64
52,7,102891
52,77,173284.7
52,92,215723.4
53,116,26147.84
53,185,76520.65
53,256,98758.85
53,288,49631.05
54,48,43022.21
54,108,77535.63
54,425,106786.2
54,659,142158.2
55,100,70678.52
57,282,213815.5
59,184,136184.9
59,393,155632.1
61,78,65802.3
61,198,86665.69
61,231,103459.2
61,453,19697.03
62,103,82616.84
62,107,67779.25
62,176,157634.5
65,38,90917.59
65,46,93891.59
65,147,112681.7
66,110,124873.9
66,136,68431.04
66,253,145544.8
69,15,16265.32
69,314,48942.21
69,446,52146.42
70,15,110884.4
70,41,194440.4
71,65,42898.91
71,282,158946.8
72,209,112917.3
73,166,148851.2
73,252,175943.9
74,15,107620.9
75,168,69247.15
75,194,7380.147
75,218,132814
75,235,73425.96
76,27,144909.3
76,94,134889.7
80,84,121149.6
81,19,71023.3
81,57,116857.7
81,101,98704.75
82,2,154549.5
82,9,92914.32
83,111,57029.39
83,169,90998.04
83,206,151916
83,220,187174.2
87,18,147263.1
88,2,101863.8
89,4,96327.32
89,12,178304.8
89,13,56002.66
89,64,100737.3
90,279,23512.5
91,90,88327.37
91,233,126412.7
95,155,27538.54
97,26,128308.8
97,53,63390.27
97,69,93013.84
99,15,92626.17
99,16,65988.53
99,47,96671.48
101,26,39202.93
101,48,116124.5
103,33,66685.81
105,95,86316.38
106,388,118392.9
106,504,47265.62
106,507,50486.3
107,14,130387.1
107,24,87405.21
108,25,33983.09
110,62,192561.8
112,381,110887.5
117,205,35934.36
117,449,76990.95
117,744,167048.3
117,771,132006.3
118,43,122789.6
118,244,81465.91
119,55,67404.83
119,149,156733.5
119,175,71086.91
119,298,51638.3
120,13,136110.5
121,400,116360
121,591,104040.1
121,622,97926.59
122,33,82327.1
122,65,85490.08
122,142,86010.16
122,164,40609.37
123,89,56044.38
123,132,109380.2
123,147,207121.8
124,145,177837.1
124,289,125582
124,344,88119.32
125,19,135220.8
125,370,84139.73
126,155,100162.5
126,195,130303.8
126,308,90638.63
126,414,172570.3
127,66,150075.1
127,87,62059.63
127,131,100090.2
128,266,69722.6
128,442,97195.8
128,481,28364.83
128,496,158485
130,209,165375.8
130,265,60675.87
130,381,110637.8
130,400,162060.7
131,25,23244.63
133,90,148052.3
133,167,98285.77
133,178,13470.25
134,15,70673.83
134,69,54536.22
134,303,52006.31
135,84,140753.1
135,86,193964
137,82,133497
138,3,30292.06
138,9,147845.8
138,65,120850.8
140,32,156746.5
140,150,59632.42
140,320,169622.7
141,332,50002.13
141,336,164675
141,385,19918.2
141,532,23212.4
145,3,196681.5
146,383,169843.2
148,35,68971.26
148,51,10386.33
151,72,44866.7
151,218,117270.3
151,526,69799.25
153,43,59834.02
153,111,130147.8
153,118,149297.3
154,99,137169.8
154,112,142818.7
155,61,89703.37
158,1,78267.26
158,83,175447.9
159,22,64291.32
159,145,137538
159,186,3414.17
159,278,13473.9
160,16,150046.7
160,233,126332.4
160,334,143101
161,67,87472.38
161,136,24834.66
162,256,69850.84
162,371,58582.85
163,6,146418
163,30,87369.08
164,21,98243.47
165,75,110450.9
165,107,125498.9
167,46,92042.34
167,70,76158.59
167,73,115211.9
169,18,101886.4
171,17,76431.48
171,33,63230.32
171,88,80867.24
171,114,94291.14
172,21,61597.15
173,2,178617.3
173,396,156616
173,423,123710.6
173,546,180986
175,19,194490.6
175,116,89892.48
177,61,46345.94
179,408,164899.3
180,11,47882.91
182,8,39289.9
182,86,107192.8
182,112,63846.98
183,102,58129.32
183,353,75579.76
183,427,63110.46
187,7,120444
187,40,60217.68
187,57,154376.4
187,77,57862.68
188,35,146409.4
188,114,195979
190,533,122443.7
191,93,124733.7
191,170,20158.03
191,243,118074.4
193,2,123334.6
193,357,114433.9
193,412,123527.8
193,567,109247.8
194,70,109128.3
196,106,92380.05
196,107,93600.42
197,186,60032.77
197,187,123789.7
197,277,38162.86
197,377,37995.85
198,1,32552.62
199,68,42240.71
200,73,55594.88
200,173,154441.6
200,533,29651.28
201,83,110566.8
201,85,4574.276
201,156,57809.43
202,155,32976.58
203,39,169499.1
203,47,168549.6
203,161,92285.99
204,101,121839.4
204,258,77308.68
204,420,116368.5
205,96,70206.72
207,152,88271.41
208,48,82458.52
208,71,120239.8
209,1,62860.15
210,105,78210.77
210,184,86761.13
210,373,111568.4
210,431,60259.3
211,30,47391.44
212,2,76267.29
212,88,155992.4
212,130,47521.57
212,133,183288.8
213,59,26256.89
213,107,117765.5
213,160,50354.11
213,301,198067
215,173,115670.1
215,174,104066.6
215,226,74354.88
216,305,98044.32
217,37,106908.1
217,44,10933.5
217,69,140468.9
217,193,42163.43
218,60,133693.9
220,10,179047.1
221,69,58257.89
221,131,23717.26
221,171,74437.58
221,477,60779.56
222,31,23320.83
222,93,114942.6
223,100,101470.9
223,132,128013.9
223,285,226346
223,535,201153.4
224,27,41645.39
224,28,64356.5
224,47,88305.08
224,112,80137.42
226,3,31112.26
226,109,88079.12
227,26,170906.9
228,89,83328.31
228,246,69217.58
228,567,90363.6
228,592,172712.3
229,363,174148.1
230,99,70715.2
230,163,100783.7
230,210,82503.94
230,725,207681
231,60,184578.9
233,16,149784.2
234,547,117793.2
236,59,115373.4
236,119,94142.99
237,21,117826.1
237,155,102998.2
238,94,158793.1
238,158,27041.36
239,247,140399.2
240,10,66630.63
240,17,47502.75
240,132,74537.09
240,270,140706
241,203,148020.2
241,308,140701.8
241,390,222919.6
242,47,75218.41
242,142,69482.98
244,32,158178.8
245,6,37981.08
245,80,14155.78
245,89,178996
245,207,86158.36
246,30,32154.33
247,204,93724.76
248,642,50631.46
248,659,159270.6
250,120,109089.5
250,142,137711.6
250,242,130090.3
251,198,45751.84
252,27,138761.9
254,117,121104.1
254,182,71981.81
254,213,164715.6
255,262,59487.81
255,275,115026.1
257,28,21963.34
257,144,33261.2
258,13,53790.29
258,103,123924.3
258,199,179237.1
259,7,84615.32
260,81,58832.66
261,17,106242.8
261,131,62262.66
261,155,77781.03
261,171,30944.06
263,145,79512.69
263,185,78433.66
263,467,143455.7
264,181,145364.3
265,123,110348.6
266,18,206455.3
266,124,84387.73
268,22,46304.76
268,93,51467.2
269,42,68510.02
269,308,97496.16
269,468,84308.93
271,82,77713.3
271,486,147461.8
271,1021,86177.51
272,189,180205.6
273,14,54670.96
273,35,42809.8
273,540,18479.16
274,55,95224.7
274,200,43514.86
275,4,57955.33
275,18,144804.8
275,164,76132.02
276,298,86367.16
277,20,120502.4
278,115,128895.3
280,330,60641.87
280,358,117546.5
281,145,105651.6
282,1,174277.3
283,138,149563.2
283,624,51709.55
283,744,159529.4
284,9,142975.5
284,200,77057.69
284,248,47174.83
