start node index, end node index, connection length
0,46,63277.91
1,16,119017.4
1,66,63806.6
2,19,82246.79
2,98,46452.12
2,117,87903.3
2,160,53209.54
3,94,92171.98
3,342,110900.3
3,439,219141.5
3,517,91569.3
4,310,72284.06
4,487,77703.85
4,655,78424.75
5,9,88951.43
5,236,28113.28
6,54,18373.98
6,107,88370.28
6,281,36398.58
6,355,91332.84
7,237,68647.7
7,263,160857.2
7,329,114815.8
7,653,134965.1
8,243,134213.8
8,303,108137.5
10,263,3537.746
10,281,111353.4
10,451,137614.7
10,477,108638.8
11,52,124043.2
11,59,191622.1
11,252,28298.81
11,284,98130.99
12,28,144737.4
12,188,113295
12,452,48994.16
12,569,60178.66
13,171,180490.4
13,244,199378.9
13,257,167208.5
14,67,166523.3
14,188,193976.6
14,340,55780.49
14,496,227441.8
15,61,36630.03
15,240,131713.5
15,258,19423.84
15,277,103839.3
17,102,123059.6
17,105,15134
18,178,148346
18,206,56398.55
20,203,67415.39
20,318,65817.81
20,505,74834
21,349,86964.43
21,723,67521.01
21,759,81833.38
21,913,73187.73
22,78,190546.9
22,110,87189.16
23,3,201416.1
24,56,30860.21
25,5,214105.6
25,39,136039.9
25,54,129557.8
26,78,175296.1
26,83,7233.469
26,93,185084.9
26,377,212035.9
27,52,62855.13
28,2,99069.46
28,8,105444.5
29,150,76528.44
29,225,64127.46
29,253,53424.05
30,153,196547.5
30,204,35999.45
31,209,82489.6
31,536,92105.43
32,14,85631.23
32,264,56221.94
33,302,101323.3
33,526,164741.7
33,746,116452.4
34,55,101964.5
34,102,139211.4
35,5,179792
35,72,198509
36,25,257441.3
36,122,68569.97
37,312,181915.4
37,321,33702.25
38,138,127063.7
38,204,215074.9
38,332,137621.8
40,23,31351.24
41,35,114636.7
41,169,128738.7
41,309,94861.31
42,24,111133.1
43,88,92479.83
43,127,126992.6
43,238,190884
44,18,56644.71
45,218,55084.16
47,169,83798.91
48,142,115619.5
48,442,53514.75
49,129,60960.77
49,173,51235.33
49,204,143933.4
50,43,181015.6
50,112,138311.6
50,149,65054.73
51,49,113580
51,114,98331.99
53,65,34901.73
57,29,117383.3
57,95,145856.7
57,198,179601.3
58,189,62002.31
58,228,135628.2
60,242,132233.8
60,339,31459.35
60,416,105714.7
60,449,99541.2
62,142,144433.8
62,437,80804.44
62,514,65450.45
63,15,86824.58
63,48,70198.83
64,13,85071.08
64,195,59613.36
64,256,81243.65
64,360,140152.7
65,20,45661.14
68,45,33684.97
69,17,108025.4
69,199,82468.36
69,454,126553.5
70,160,54422.32
70,164,145087
71,312,123309.8
71,388,118050.5
71,462,136833.1
71,506,136984
73,30,109502.3
73,43,63582
73,97,71695.74
74,94,123538
75,46,106889
75,54,111357.5
75,278,53779.17
75,577,81502.74
76,69,76702.54
76,72,52908.17
76,184,79666.13
77,154,122066.7
77,183,97988.85
79,58,106295.2
79,106,173304.8
79,153,61332.51
79,159,97836.02
80,108,37370.64
80,182,171567.2
81,0,88633.41
82,218,75606.38
82,385,189406.8
82,613,128794.4
84,112,62586.17
85,101,48615.93
85,188,164426.6
85,215,23977.37
86,18,59066.53
86,100,156607.9
87,49,109091.8
87,82,49112.15
87,218,37467.76
87,265,128636.5
89,9,78675.5
89,216,142413.2
89,239,82347.53
90,402,159526
90,529,164770
91,9,65694.19
91,408,104820.3
91,454,77635.59
92,64,43726.05
92,76,69950.24
92,175,137455.6
92,387,45578.21
96,243,44425.64
99,46,142591.7
103,277,156776
103,422,77198.23
104,45,108534.9
104,51,124282.7
104,95,171698.4
104,107,198768.1
105,6,49750.99
109,159,102351.3
109,234,110462.2
109,375,100539.6
111,114,98388.25
111,119,41469.83
111,198,126914
112,32,88686.98
112,36,164682.4
113,3,138290.1
113,140,128631.6
115,62,53413.96
115,92,112833.5
115,158,131580.1
116,215,170627.9
116,281,76442.43
116,321,12230.26
118,58,44494.08
119,29,37867.21
119,75,116160.7
120,28,54886.65
121,43,175741.6
123,83,46719.2
123,193,18466.08
124,86,80782.69
125,254,65367.64
126,7,51202.59
126,14,160323.4
126,174,29802.82
126,383,84460.67
127,6,51940.13
128,44,78134.65
130,21,80047.7
131,118,109400.3
132,252,106742.6
132,321,81694.16
133,58,48952.79
133,235,44331.13
133,353,140413.7
133,552,81948.24
134,9,27182.33
134,106,48342.55
134,158,106885.1
135,44,131176.9
136,94,69384.72
136,100,85856.51
136,153,102644.7
136,260,123616.6
137,12,86025
137,13,82056.17
139,238,104123.9
140,53,111284
141,277,109924.2
141,408,228056.6
141,430,51497.81
142,35,56759.49
143,81,48516.21
143,196,165448.6
143,215,154409.5
144,228,157496.5
144,328,99723.14
144,372,140512.2
145,263,120157
145,278,73294.27
145,305,14968.69
146,320,109790
146,616,31521.91
147,96,158407.7
147,120,2775.673
148,11,205908.7
148,36,178359.9
148,73,212366
148,81,153388.4
149,18,175847.3
149,31,96686.94
151,12,122941.4
151,154,173670.3
151,168,85878.83
152,17,145256.4
152,99,90881.75
152,776,115186.7
155,13,143485
155,43,155383.1
155,62,137708.4
155,146,73624.41
156,94,11423.89
156,133,85154.05
157,124,169847.7
157,245,152011.1
157,270,148530.3
158,58,36124.14
161,53,49068.97
161,438,65129.25
161,760,35769.07
161,960,48880.73
162,175,126091.8
162,327,17619.65
162,655,108825.8
162,783,118065.3
163,2,86782.63
163,11,129751
163,220,108895.9
163,230,33651.07
165,126,175699
165,277,19505.88
166,105,49518.49
167,21,66967.51
167,138,127536.5
168,105,146078.7
169,33,37909
170,57,192619.4
170,168,198301.3
172,18,174431.5
172,42,111668.2
172,169,154318.7
174,68,92323.16
175,30,54194.47
176,63,21498.52
176,72,116370.1
176,112,86988.56
177,86,127654.3
179,101,65595.33
179,451,98513.89
179,580,36811.29
179,625,55033.57
180,1,58854.39
180,576,122796.6
180,757,85420.9
180,773,58733.58
181,89,163604.8
181,113,155608.7
181,324,137433.7
185,51,86747.88
186,14,48753.13
186,361,80579.21
186,524,121682.1
186,624,40185.52
187,56,73002.86
187,562,156304.8
187,563,58246.59
187,613,70368.65
190,62,96031.8
191,21,106946.1
191,261,75597.28
191,281,47263.66
192,30,209562.3
192,240,205361.2
194,0,70360.32
194,88,21296.27
194,124,53167.83
194,163,60025.86
195,62,111807
196,93,206877.8
197,23,52859.55
197,308,36248.19
